top - 13:27:55 up 1 day,  4:11,  4 users,  load average: 2,15, 2,54, 2,66
Tasks: 275 total,   2 running, 271 sleeping,   0 stopped,   2 zombie
%Cpu(s): 41,7 us,  6,7 sy,  0,0 ni, 51,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15817,2 total,   1891,0 free,   6145,4 used,   7780,8 buff/cache
MiB Swap:   4096,0 total,   4085,4 free,     10,6 used.   7643,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     85 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
     86 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap1
     87 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap1
     88 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-shrink
     91 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger_manager
    117 root       0 -20       0      0      0 I   0,0   0,0   0:05.75 kworker/0:1H-events_high+
    118 root       0 -20       0      0      0 I   0,0   0,0   0:06.32 kworker/3:1H-events_high+
    139 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    140 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-reset-wq
    141 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-delete-wq
    142 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-auth-wq
    153 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-worker
    154 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-worker-hi
    155 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-delalloc
    156 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-flush_del
    157 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-cache
    158 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-fixup
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-endio
    160 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-endio-met
    161 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-rmw
    162 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-endio-wri
    163 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 btrfs-compresse
