-33115391219.17036	213641399882.35764	98884898218.50076
-33119999996.53214	213641137426.47305	98884902283.08060
-33124608761.35843	213640874886.33740	98884906308.67792
-33129217513.64747	213640612261.95111	98884910295.29289
-33133826253.39750	213640349553.31476	98884914242.92575
-33138434980.60678	213640086760.42883	98884918151.57664
-33143043695.27354	213639823883.29385	98884922021.24576
-33147652397.39603	213639560921.91037	98884925851.93332
-33152261086.97250	213639297876.27878	98884929643.63947
-33156869764.00117	213639034746.39972	98884933396.36441
-33161478428.48030	213638771532.27368	98884937110.10837
-33166087080.40815	213638508233.90112	98884940784.87144
-33170695719.78293	213638244851.28256	98884944420.65393
-33175304346.60290	213637981384.41852	98884948017.45593
-33179912960.86632	213637717833.30957	98884951575.27766
-33184521562.57140	213637454197.95615	98884955094.11934
-33189130151.71642	213637190478.35876	98884958573.98112
-33193738728.29959	213636926674.51797	98884962014.86319
-33198347292.31918	213636662786.43436	98884965416.76575
-33202955843.77341	213636398814.10825	98884968779.68898
-33207564382.66055	213636134757.54031	98884972103.63306
-33212172908.97883	213635870616.73099	98884975388.59821
-33216781422.72649	213635606391.68079	98884978634.58459
-33221389923.90178	213635342082.39026	98884981841.59239
-33225998412.50294	213635077688.85992	98884985009.62180
-33230606888.52822	213634813211.09024	98884988138.67300
-33235215351.97586	213634548649.08173	98884991228.74620
-33239823802.84411	213634284002.83496	98884994279.84157
-33244432241.13121	213634019272.35040	98884997291.95930
-33249040666.83540	213633754457.62857	98885000265.09959
-33253649079.95493	213633489558.66998	98885003199.26262
-33258257480.48803	213633224575.47519	98885006094.44855
-33262865868.43296	213632959508.04459	98885008950.65762
-33267474243.78799	213632694356.37885	98885011767.88998
-33272082606.55130	213632429120.47836	98885014546.14584
-33276690956.72118	213632163800.34369	98885017285.42537
-33281299294.29586	213631898395.97534	98885019985.72878
-33285907619.27359	213631632907.37384	98885022647.05621
-33290515931.65261	213631367334.53964	98885025269.40790
-33295124231.43116	213631101677.47336	98885027852.78403
-33299732518.60750	213630835936.17545	98885030397.18475
-33304340793.17987	213630570110.64639	98885032902.61031
-33308949055.14649	213630304200.88675	98885035369.06084
-33313557304.50563	213630038206.89703	98885037796.53654
-33318165541.25553	213629772128.67773	98885040185.03764
-33322773765.39444	213629505966.22934	98885042534.56427
-33327381976.92059	213629239719.55243	98885044845.11665
-33331990175.83223	213628973388.64746	98885047116.69499
-33336598362.12761	213628706973.51505	98885049349.29942
-33341206535.80497	213628440474.15555	98885051542.93018
-33345814696.86255	213628173890.56958	98885053697.58743
-33350422845.29860	213627907222.75760	98885055813.27135
-33355030981.11136	213627640470.72021	98885057889.98216
-33359639104.29908	213627373634.45782	98885059927.72003
-33364247214.86001	213627106713.97101	98885061926.48515
-33368855312.79239	213626839709.26028	98885063886.27771
-33373463398.09445	213626572620.32614	98885065807.09789
-33378071470.76446	213626305447.16907	98885067688.94589
-33382679530.80064	213626038189.78961	98885069531.82188
-33387287578.20126	213625770848.18832	98885071335.72607
-33391895612.96455	213625503422.36560	98885073100.65865
-33396503635.08874	213625235912.32208	98885074826.61977
-33401111644.57211	213624968318.05823	98885076513.60966
-33405719641.41288	213624700639.57452	98885078161.62848
-33410327625.60929	213624432876.87155	98885079770.67645
-33414935597.15961	213624165029.94980	98885081340.75374
-33419543556.06207	213623897098.80972	98885082871.86053
-33424151502.31491	213623629083.45193	98885084363.99701
-33428759435.91638	213623360983.87683	98885085817.16339
-33433367356.86473	213623092800.08502	98885087231.35983
-33437975265.15820	213622824532.07700	98885088606.58655
-33442583160.79503	213622556179.85324	98885089942.84369
-33447191043.77348	213622287743.41428	98885091240.13148
-33451798914.09178	213622019222.76068	98885092498.45012
-33456406771.74817	213621750617.89288	98885093717.79976
-33461014616.74092	213621481928.81146	98885094898.18057
-33465622449.06827	213621213155.51685	98885096039.59280
-33470230268.72844	213620944298.00964	98885097142.03662
-33474838075.71969	213620675356.29031	98885098205.51219
-33479445870.04028	213620406330.35938	98885099230.01971
-33484053651.68843	213620137220.21738	98885100215.55940
-33488661420.66240	213619868025.86481	98885101162.13139
-33493269176.96043	213619598747.30219	98885102069.73595
-33497876920.58077	213619329384.53000	98885102938.37320
-33502484651.52166	213619059937.54880	98885103768.04333
-33507092369.78135	213618790406.35907	98885104558.74657
-33511700075.35808	213618520790.96133	98885105310.48305
-33516307768.25011	213618251091.35617	98885106023.25302
-33520915448.45567	213617981307.54395	98885106697.05667
-33525523115.97300	213617711439.52533	98885107331.89412
-33530130770.80036	213617441487.30075	98885107927.76561
-33534738412.93599	213617171450.87073	98885108484.67133
-33539346042.37814	213616901330.23581	98885109002.61145
-33543953659.12505	213616631125.39648	98885109481.58615
-33548561263.17496	213616360836.35327	98885109921.59564
-33553168854.52613	213616090463.10672	98885110322.64012
-33557776433.17679	213615820005.65726	98885110684.71976
-33562383999.12521	213615549464.00549	98885111007.83475
-33566991552.36960	213615278838.15186	98885111291.98526
-33571599092.90823	213615008128.09692	98885111537.17149
-33576206620.73934	213614737333.84122	98885111743.39368
-33580814135.86118	213614466455.38522	98885111910.65193
-33585421638.27200	213614195492.72946	98885112038.94650
-33590029127.97002	213613924445.87442	98885112128.27756
-33594636604.95351	213613653314.82065	98885112178.64525
-33599244069.22071	213613382099.56866	98885112190.04984
-33603851520.76986	213613110800.11893	98885112162.49146
-33608458959.59923	213612839416.47205	98885112095.97032
-33613066385.70702	213612567948.62842	98885111990.48660
-33617673799.09152	213612296396.58868	98885111846.04051
-33622281199.75095	213612024760.35330	98885111662.63222
-33626888587.68357	213611753039.92276	98885111440.26190
-33631495962.88760	213611481235.29755	98885111178.92979
-33636103325.36133	213611209346.47827	98885110878.63602
-33640710675.10296	213610937373.46545	98885110539.38083
-33645318012.11077	213610665316.25946	98885110161.16437
-33649925336.38299	213610393174.86099	98885109743.98686
-33654532647.91787	213610120949.27042	98885109287.84848
-33659139946.71366	213609848639.48834	98885108792.74940
-33663747232.76860	213609576245.51520	98885108258.68983
-33668354506.08094	213609303767.35159	98885107685.66995
-33672961766.64891	213609031204.99799	98885107073.68997
