1225960657413.79858	-728845257034.13525	-353854018184.18054
1225961611774.43481	-728843758132.13330	-353853440167.61780
1225962566133.02881	-728842259228.91638	-353852862150.46533
1225963520489.58105	-728840760324.48499	-353852284132.72308
1225964474844.09180	-728839261418.83862	-353851706114.39124
1225965429196.56030	-728837762511.97754	-353851128095.46960
1225966383546.98730	-728836263603.90186	-353850550075.95831
1225967337895.37256	-728834764694.61145	-353849972055.85724
1225968292241.71582	-728833265784.10632	-353849394035.16656
1225969246586.01709	-728831766872.38660	-353848816013.88611
1225970200928.27686	-728830267959.45190	-353848237992.01593
1225971155268.49487	-728828769045.30273	-353847659969.55615
1225972109606.67065	-728827270129.93872	-353847081946.50659
1225973063942.80493	-728825771213.36011	-353846503922.86743
1225974018276.89722	-728824272295.56665	-353845925898.63849
1225974972608.94775	-728822773376.55859	-353845347873.81982
1225975926938.95630	-728821274456.33582	-353844769848.41156
1225976881266.92310	-728819775534.89832	-353844191822.41357
1225977835592.84839	-728818276612.24622	-353843613795.82587
1225978789916.73120	-728816777688.37927	-353843035768.64838
1225979744238.57251	-728815278763.29773	-353842457740.88135
1225980698558.37207	-728813779837.00146	-353841879712.52448
1225981652876.12939	-728812280909.49048	-353841301683.57800
1225982607191.84521	-728810781980.76489	-353840723654.04181
1225983561505.51904	-728809283050.82446	-353840145623.91595
1225984515817.15137	-728807784119.66956	-353839567593.20038
1225985470126.74146	-728806285187.29980	-353838989561.89520
1225986424434.28979	-728804786253.71558	-353838411530.00018
1225987378739.79614	-728803287318.91650	-353837833497.51563
1225988333043.26050	-728801788382.90295	-353837255464.44122
1225989287344.68311	-728800289445.67456	-353836677430.77728
1225990241644.06445	-728798790507.23157	-353836099396.52368
1225991195941.40308	-728797291567.57385	-353835521361.68030
1225992150236.70020	-728795792626.70154	-353834943326.24719
1225993104529.95557	-728794293684.61462	-353834365290.22443
1225994058821.16895	-728792794741.31299	-353833787253.61206
1225995013110.34033	-728791295796.79663	-353833209216.40997
1225995967397.46997	-728789796851.06580	-353832631178.61816
1225996921682.55786	-728788297904.12024	-353832053140.23676
1225997875965.60352	-728786798955.95996	-353831475101.26569
1225998830246.60742	-728785300006.58508	-353830897061.70490
1225999784525.56958	-728783801055.99548	-353830319021.55438
1226000738802.48950	-728782302104.19128	-353829740980.81421
1226001693077.36792	-728780803151.17261	-353829162939.48438
1226002647350.20435	-728779304196.93921	-353828584897.56488
1226003601620.99902	-728777805241.49109	-353828006855.05573
1226004555889.75146	-728776306284.82837	-353827428811.95691
1226005510156.46240	-728774807326.95117	-353826850768.26837
1226006464421.13086	-728773308367.85913	-353826272723.99017
1226007418683.75781	-728771809407.55261	-353825694679.12231
1226008372944.34277	-728770310446.03149	-353825116633.66486
1226009327202.88599	-728768811483.29553	-353824538587.61761
1226010281459.38721	-728767312519.34534	-353823960540.98083
1226011235713.84644	-728765813554.18018	-353823382493.75427
1226012189966.26367	-728764314587.80066	-353822804445.93805
1226013144216.63916	-728762815620.20618	-353822226397.53223
1226014098464.97290	-728761316651.39734	-353821648348.53674
1226015052711.26440	-728759817681.37390	-353821070298.95154
1226016006955.51416	-728758318710.13586	-353820492248.77673
1226016961197.72192	-728756819737.68323	-353819914198.01221
1226017915437.88794	-728755320764.01587	-353819336146.65808
1226018869676.01172	-728753821789.13403	-353818758094.71423
1226019823912.09375	-728752322813.03760	-353818180042.18079
1226020778146.13354	-728750823835.72644	-353817601989.05768
1226021732378.13184	-728749324857.20093	-353817023935.34485
1226022686608.08813	-728747825877.46057	-353816445881.04248
1226023640836.00244	-728746326896.50586	-353815867826.15033
1226024595061.87476	-728744827914.33643	-353815289770.66864
1226025549285.70508	-728743328930.95251	-353814711714.59723
1226026503507.49341	-728741829946.35400	-353814133657.93616
1226027457727.23999	-728740330960.54077	-353813555600.68549
1226028411944.94458	-728738831973.51318	-353812977542.84515
1226029366160.60718	-728737332985.27087	-353812399484.41510
1226030320374.22778	-728735833995.81409	-353811821425.39551
1226031274585.80664	-728734335005.14270	-353811243365.78619
1226032228795.34326	-728732836013.25671	-353810665305.58722
1226033183002.83813	-728731337020.15625	-353810087244.79865
1226034137208.29102	-728729838025.84106	-353809509183.42041
1226035091411.70190	-728728339030.31140	-353808931121.45258
1226036045613.07104	-728726840033.56726	-353808353058.89508
1226036999812.39771	-728725341035.60840	-353807774995.74792
1226037954009.68286	-728723842036.43530	-353807196932.01105
1226038908204.92578	-728722343036.04736	-353806618867.68469
1226039862398.12720	-728720844034.44495	-353806040802.76862
1226040816589.28613	-728719345031.62805	-353805462737.26282
1226041770778.40332	-728717846027.59644	-353804884671.16748
1226042724965.47852	-728716347022.35046	-353804306604.48254
1226043679150.51147	-728714848015.89001	-353803728537.20789
1226044633333.50269	-728713349008.21497	-353803150469.34369
1226045587514.45190	-728711849999.32532	-353802572400.88971
1226046541693.35938	-728710350989.22119	-353801994331.84619
1226047495870.22437	-728708851977.90259	-353801416262.21307
1226048450045.04785	-728707352965.36938	-353800838191.99017
1226049404217.82910	-728705853951.62170	-353800260121.17780
1226050358388.56812	-728704354936.65930	-353799682049.77576
1226051312557.26587	-728702855920.48254	-353799103977.78406
1226052266723.92090	-728701356903.09131	-353798525905.20276
1226053220888.53418	-728699857884.48547	-353797947832.03180
1226054175051.10547	-728698358864.66528	-353797369758.27124
1226055129211.63477	-728696859843.63049	-353796791683.92096
1226056083370.12231	-728695360821.38123	-353796213608.98126
1226057037526.56738	-728693861797.91724	-353795635533.45178
1226057991680.97070	-728692362773.23901	-353795057457.33270
