716949364424.68164	171657669739.61264	56126869723.78694
716948700441.02087	171660101151.88611	56127928068.79608
716948036448.01477	171662532561.92474	56128986413.07480
716947372445.66370	171664963969.72867	56130044756.62311
716946708433.96753	171667395375.29785	56131103099.44099
716946044412.92603	171669826778.63214	56132161441.52843
716945380382.53967	171672258179.73160	56133219782.88541
716944716342.80798	171674689578.59616	56134278123.51191
716944052293.73132	171677120975.22580	56135336463.40793
716943388235.30945	171679552369.62051	56136394802.57344
716942724167.54272	171681983761.78018	56137453141.00845
716942060090.43091	171684415151.70490	56138511478.71294
716941396003.97400	171686846539.39456	56139569815.68688
716940731908.17188	171689277924.84912	56140628151.93027
716940067803.02490	171691709308.06857	56141686487.44308
716939403688.53271	171694140689.05289	56142744822.22531
716938739564.69556	171696572067.80200	56143803156.27695
716938075431.51355	171699003444.31595	56144861489.59798
716937411288.98645	171701434818.59464	56145919822.18839
716936747137.11438	171703866190.63809	56146978154.04816
716936082975.89722	171706297560.44620	56148036485.17727
716935418805.33521	171708728928.01898	56149094815.57574
716934754625.42822	171711160293.35641	56150153145.24350
716934090436.17615	171713591656.45847	56151211474.18059
716933426237.57922	171716023017.32507	56152269802.38696
716932762029.63733	171718454375.95621	56153328129.86263
716932097812.35046	171720885732.35187	56154386456.60755
716931433585.71875	171723317086.51199	56155444782.62172
716930769349.74207	171725748438.43658	56156503107.90514
716930105104.42041	171728179788.12561	56157561432.45778
716929440849.75391	171730611135.57895	56158619756.27962
716928776585.74255	171733042480.79669	56159678079.37067
716928112312.38623	171735473823.77872	56160736401.73090
716927448029.68506	171737905164.52509	56161794723.36031
716926783737.63904	171740336503.03568	56162853044.25887
716926119436.24817	171742767839.31046	56163911364.42656
716925455125.51245	171745199173.34949	56164969683.86340
716924790805.43201	171747630505.15268	56166028002.56934
716924126476.00659	171750061834.71997	56167086320.54439
716923462137.23621	171752493162.05139	56168144637.78851
716922797789.12122	171754924487.14682	56169202954.30171
716922133431.66138	171757355810.00632	56170261270.08398
716921469064.85681	171759787130.62985	56171319585.13529
716920804688.70740	171762218449.01730	56172377899.45564
716920140303.21326	171764649765.16870	56173436213.04499
716919475908.37415	171767081079.08405	56174494525.90335
716918811504.19043	171769512390.76324	56175552838.03072
716918147090.66199	171771943700.20624	56176611149.42705
716917482667.78870	171774375007.41312	56177669460.09235
716916818235.57068	171776806312.38373	56178727770.02659
716916153794.00818	171779237615.11810	56179786079.22977
716915489343.10071	171781668915.61624	56180844387.70187
716914824882.84851	171784100213.87802	56181902695.44289
716914160413.25171	171786531509.90347	56182961002.45278
716913495934.31006	171788962803.69254	56184019308.73156
716912831446.02393	171791394095.24518	56185077614.27922
716912166948.39294	171793825384.56143	56186135919.09573
716911502441.41748	171796256671.64114	56187194223.18107
716910837925.09717	171798687956.48441	56188252526.53525
716910173399.43237	171801119239.09113	56189310829.15823
716909508864.42297	171803550519.46124	56190369131.05000
716908844320.06885	171805981797.59476	56191427432.21056
716908179766.37000	171808413073.49167	56192485732.63989
716907515203.32654	171810844347.15195	56193544032.33799
716906850630.93860	171813275618.57547	56194602331.30482
716906186049.20618	171815706887.76230	56195660629.54037
716905521458.12891	171818138154.71237	56196718927.04465
716904856857.70715	171820569419.42563	56197777223.81763
716904192247.94080	171823000681.90210	56198835519.85929
716903527628.82983	171825431942.14172	56199893815.16962
716902863000.37439	171827863200.14441	56200952109.74863
716902198362.57446	171830294455.91028	56202010403.59627
716901533715.42993	171832725709.43909	56203068696.71254
716900869058.94092	171835156960.73099	56204126989.09744
716900204393.10730	171837588209.78586	56205185280.75094
716899539717.92920	171840019456.60367	56206243571.67303
716898875033.40662	171842450701.18445	56207301861.86369
716898210339.53955	171844881943.52808	56208360151.32293
716897545636.32800	171847313183.63461	56209418440.05070
716896880923.77197	171849744421.50394	56210476728.04702
716896216201.87134	171852175657.13608	56211535015.31187
716895551470.62646	171854606890.53101	56212593301.84521
716894886730.03699	171857038121.68863	56213651587.64705
716894221980.10315	171859469350.60901	56214709872.71738
716893557220.82471	171861900577.29199	56215768157.05616
716892892452.20203	171864331801.73767	56216826440.66341
716892227674.23499	171866763023.94595	56217884723.53909
716891562886.92346	171869194243.91681	56218943005.68319
716890898090.26746	171871625461.65021	56220001287.09570
716890233284.26721	171874056677.14615	56221059567.77663
716889568468.92249	171876487890.40451	56222117847.72594
716888903644.23328	171878919101.42538	56223176126.94360
716888238810.19971	171881350310.20862	56224234405.42963
716887573966.82190	171883781516.75430	56225292683.18400
716886909114.09985	171886212721.06229	56226350960.20670
716886244252.03333	171888643923.13263	56227409236.49772
716885579380.62256	171891075122.96527	56228467512.05702
716884914499.86731	171893506320.56015	56229525786.88463
716884249609.76794	171895937515.91727	56230584060.98051
716883584710.32410	171898368709.03659	56231642334.34464
716882919801.53601	171900799899.91809	56232700606.97704
716882254883.40381	171903231088.56171	56233758878.87765
716881589955.92700	171905662274.96741	56234817150.04649
716880925019.10620	171908093459.13516	56235875420.48353
716880260072.94092	171910524641.06500	56236933690.18876
716879595117.43164	171912955820.75687	56237991959.16218
716878930152.57800	171915386998.21066	56239050227.40375
716878265178.38013	171917818173.42642	56240108494.91347
716877600194.83801	171920249346.40414	56241166761.69133
716876935201.95166	171922680517.14371	56242225027.73732
716876270199.72107	171925111685.64508	56243283293.05141
716875605188.14636	171927542851.90826	56244341557.63359
716874940167.22754	171929974015.93332	56245399821.48386
716874275136.96436	171932405177.72006	56246458084.60220
716873610097.35706	171934836337.26852	56247516346.98858
716872945048.40564	171937267494.57870	56248574608.64301
