F S     PID    PPID CLS PRI  NI STAT CMD                         RTPRIO
1 I     163       2  TS  39 -20 I<    \_ [btrfs-compresse]            -
1 I     164       2  TS  39 -20 I<    \_ [btrfs-freespace]            -
1 I     165       2  TS  39 -20 I<    \_ [btrfs-delayed-m]            -
1 I     166       2  TS  39 -20 I<    \_ [btrfs-qgroup-re]            -
1 S     167       2  TS  19   0 S     \_ [btrfs-cleaner]              -
1 S     168       2  TS  19   0 S     \_ [btrfs-transaction]          -
1 I     214       2  TS  39 -20 I<    \_ [iprt-VBoxWQueue]            -
1 S     215       2  TS  19   0 S     \_ [iprt-VBoxTscThread]         -
1 S     321       2  FF  90   - S     \_ [irq/134-FTCS1000:00]       50
1 I     349       2  TS  39 -20 I<    \_ [cfg80211]                   -
1 S     363       2  FF  90   - S     \_ [irq/135-iwlwifi:defaul     50
1 S     364       2  FF  90   - S     \_ [irq/136-iwlwifi:queue_     50
1 S     365       2  FF  90   - S     \_ [irq/137-iwlwifi:queue_     50
1 S     367       2  FF  90   - S     \_ [irq/138-iwlwifi:queue_     50
1 S     368       2  FF  90   - S     \_ [irq/139-iwlwifi:queue_     50
1 I     369       2  TS  39 -20 I<    \_ [cryptd]                     -
1 S     370       2  FF  90   - S     \_ [irq/140-iwlwifi:except     50
1 S     432       2  FF  90   - S     \_ [card0-crtc0]               50
1 S     433       2  FF  90   - S     \_ [card0-crtc1]               50
1 S     434       2  FF  90   - S     \_ [card0-crtc2]               50
5 S    1181       2  TS  29 -10 S<    \_ [krfcommd]                   -
1 I   20687       2  TS  39 -20 I<    \_ [tls-strp]                   -
1 I   80253       2  TS  19   0 I     \_ [kworker/1:0-mm_percpu_      -
1 I   86441       2  TS  19   0 I     \_ [kworker/2:2-cgroup_des      -
1 I   86443       2  TS  19   0 I     \_ [kworker/0:1-events]         -
1 S   86469       2  FF  90   - S     \_ [irq/128-mei_me]            50
1 I   90844       2  TS  39 -20 I<    \_ [kworker/u9:2-i915_flip      -
1 I   91381       2  TS  19   0 I     \_ [kworker/u8:7-btrfs-end      -
1 I   91768       2  TS  39 -20 I<    \_ [kworker/u9:1-i915_flip      -
1 I   93988       2  TS  19   0 I     \_ [kworker/u8:4-btrfs-end      -
1 I   94171       2  TS  19   0 I     \_ [kworker/u8:6-events_un      -
1 I   94843       2  TS  19   0 I     \_ [kworker/u8:5-btrfs-wor      -
1 I   95515       2  TS  19   0 I     \_ [kworker/0:0-events]         -
1 I   95516       2  TS  19   0 I     \_ [kworker/1:2-cgroup_des      -
1 I   95517       2  TS  19   0 I     \_ [kworker/3:0-cgroup_des      -
1 I   95519       2  TS  19   0 I     \_ [kworker/u8:8-btrfs-end      -
1 I   95957       2  TS  19   0 I     \_ [kworker/u8:0-i915]          -
1 I   96092       2  TS  19   0 I     \_ [kworker/2:0-events]         -
1 I   96094       2  TS  19   0 I     \_ [kworker/3:2-mm_percpu_      -
1 I   96477       2  TS  19   0 I     \_ [kworker/u8:2-flush-btr      -
1 I   96907       2  TS  19   0 I     \_ [kworker/u8:1-btrfs-wor      -
1 I   97091       2  TS  39 -20 I<    \_ [kworker/u9:0]               -
4 S       1       0  TS  19   0 Ss   /sbin/init                       -
4 S     209       1  TS  19   0 Ss   /usr/lib/systemd/systemd-jo      -
4 S     232       1  TS  19   0 Ss   /usr/lib/systemd/systemd-ud      -
4 S     423       1  TS  19   0 Ss   /bin/sh /usr/bin/grub-btrfs      -
0 S     678     423  TS  19   0 S     \_ inotifywait -q -q -e cr      -
4 S     431       1  TS  19   0 Ss   /usr/lib/systemd/systemd-lo      -
4 S     435       1  TS  19   0 Ssl  /usr/bin/touchegg --daemon       -
4 S     439       1  TS  19   0 Ssl  /usr/bin/NetworkManager --n      -
4 S     469       1  TS  19   0 Ssl  /usr/bin/sddm                    -
4 S     626     469  TS  19   0 Ssl+  \_ /usr/lib/Xorg -nolisten      -
4 S     954     469  TS  19   0 S     \_ /usr/lib/sddm/sddm-help      -
4 S     693       1  TS  19   0 Ss   /usr/lib/bluetooth/bluetoot      -
4 S     703       1  TS  19   0 Ss   /usr/bin/wpa_supplicant -u       -
4 S     913       1  TS  19   0 Ssl  /usr/lib/udisks2/udisksd         -
4 S     933       1  TS  19   0 Ssl  /usr/lib/upowerd                 -
4 S   17221       1  TS  19   0 Ssl  /usr/bin/pamac-daemon            -
