    PID CLS PRI TTY      STAT   TIME COMMAND
  78354 TS   19 pts/3    S+     0:00 sudo ./father
    209 TS   19 ?        S      0:00  \_ [iprt-VBoxTscThread]
    312 FF   90 ?        S      2:28  \_ [irq/134-FTCS1000:00]
    324 TS   39 ?        I<     0:00  \_ [cryptd]
    361 TS   39 ?        I<     0:00  \_ [cfg80211]
    409 FF   90 ?        S      0:02  \_ [irq/136-iwlwifi:default_queue]
    410 FF   90 ?        S      0:00  \_ [irq/137-iwlwifi:queue_1]
    411 FF   90 ?        S      0:00  \_ [irq/138-iwlwifi:queue_2]
    412 FF   90 ?        S      0:01  \_ [card0-crtc0]
    419 FF   90 ?        S      0:00  \_ [card0-crtc1]
    420 FF   90 ?        S      0:00  \_ [irq/139-iwlwifi:queue_3]
    421 FF   90 ?        S      0:00  \_ [card0-crtc2]
    422 FF   90 ?        S      0:00  \_ [irq/140-iwlwifi:queue_4]
    423 FF   90 ?        S      0:00  \_ [irq/141-iwlwifi:exception]
   1136 TS   29 ?        S<     0:00  \_ [krfcommd]
  11044 TS   39 ?        I<     0:00  \_ [dio/nvme0n1p2]
  61707 FF   90 ?        S      0:00  \_ [irq/128-mei_me]
  70982 TS   39 ?        I<     0:00  \_ [kworker/2:2H-events_highpri]
  71757 TS   39 ?        I<     0:05  \_ [kworker/u9:2-i915_flip]
  72005 TS   19 ?        I      0:00  \_ [kworker/u8:5-btrfs-worker]
  72128 TS   39 ?        I<     0:04  \_ [kworker/u9:1-btrfs-worker-high]
  72460 TS   19 ?        I      0:00  \_ [kworker/3:1-rcu_gp]
  72943 TS   19 ?        I      0:00  \_ [kworker/u8:3-btrfs-endio-write]
  72944 TS   19 ?        I      0:00  \_ [kworker/u8:6-btrfs-endio-write]
  74400 TS   19 ?        I      0:01  \_ [kworker/0:3-events]
  75062 TS   19 ?        I      0:00  \_ [kworker/1:1-events]
  75129 TS   19 ?        I      0:00  \_ [kworker/2:2-events]
  75281 TS   19 ?        I      0:00  \_ [kworker/u8:2-btrfs-endio-write]
  75760 TS   19 ?        I      0:00  \_ [kworker/1:2-events]
  76740 TS   19 ?        I      0:00  \_ [kworker/3:0-events]
  76741 TS   19 ?        I      0:00  \_ [kworker/2:1]
  76930 TS   19 ?        I      0:00  \_ [kworker/u8:4-i915]
  77279 TS   19 ?        I      0:00  \_ [kworker/u8:0-btrfs-endio-write]
  77280 TS   19 ?        I      0:00  \_ [kworker/u8:8-i915]
  77775 TS   19 ?        I      0:00  \_ [kworker/0:0-events]
  77848 TS   39 ?        I<     0:00  \_ [kworker/u9:3-rb_allocator]
  77859 TS   19 ?        I      0:00  \_ [kworker/u8:1-btrfs-worker]
  78142 TS   39 ?        D<     0:00  \_ [kworker/u9:0+i915_flip]
  78246 TS   19 ?        I      0:00  \_ [kworker/0:1-events]
  78273 TS   19 ?        I      0:00  \_ [kworker/1:0-events]
      1 TS   19 ?        Ss     0:17 /sbin/init
    202 TS   19 ?        Ss     0:12 /usr/lib/systemd/systemd-journald
    227 TS   19 ?        Ss     0:03 /usr/lib/systemd/systemd-udevd
    425 TS   19 ?        Ss     0:00 /bin/sh /usr/bin/grub-btrfsd --syslog --timeshift-auto
    693 TS   19 ?        S      0:00  \_ inotifywait -q -q -e create -e delete /run/timeshift
    427 TS   19 ?        Ss     0:02 /usr/lib/systemd/systemd-logind
    428 TS   19 ?        Ssl    2:14 /usr/bin/touchegg --daemon
    433 TS   19 ?        Ssl    1:23 /usr/bin/NetworkManager --no-daemon
    502 TS   19 ?        Ssl    0:00 /usr/bin/sddm
    615 TS   19 tty1     Ssl+  51:10  \_ /usr/lib/Xorg -nolisten tcp -background none -seat seat0 vt1 -auth /var/run/sddm/{2bdc4b74-274c-470f-abd6-d60c78a50e03} -noreset -displayfd 17
    936 TS   19 ?        S      0:00  \_ /usr/lib/sddm/sddm-helper --socket /tmp/sddm-auth9ff577d9-a7e0-458b-bcba-9c66be112b0d --id 1 --start /usr/bin/startplasma-x11 --user leksil
    684 TS   19 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
    694 TS   19 ?        Ss     0:05 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
    903 TS   19 ?        Ssl    0:00 /usr/lib/udisks2/udisksd
    921 TS   19 ?        Ssl    0:26 /usr/lib/upowerd
  41117 TS   19 tty2     Ss+    0:00 /sbin/agetty -o -p -- \u --noclear - linux
